Companies,URL,Description,Business Model,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Commercial Maturity,IPO Probability,M&A Probability,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
neoEYED,neoeyed.com,"NeoEYED focuses on cybersecurity, specifically in the domain of account protection and fraud prevention. The company offers a unique security solution using artificial intelligence (AI) to monitor user behavior, such as typing patterns and touchscreen interactions. It detects anomalies and prevents unauthorized account access or fraudulent use. It caters to businesses seeking to enhance their security measures and reduce costs associated with account fraud. NeoEYED was founded in 2016 and is based in Herndon, Virginia.","B2B, SaaS",Mobile Software & Services,Security,"Cybersecurity, Digital ID In Fintech",,172,,0.41%,4.64%,United States,0.08,"MACH37, PayPal Incubator, cultiv8, ICE71 Accelerate, UniCredit Start Lab",0.01,Grant,2020-07-22,1,-66.666664%,Alive / Active,2016,,
Earth Eyes,earth-eyes.co.jp,"Earth Eyes specializes in advanced assistive AI technology for enhancing safety and security across various sectors. The company offers customized and standard AI solutions that cater to the needs of retail, medical, welfare, industrial, and facility management sectors, as well as disaster prevention and surveillance systems. Earth Eyes primarily serves sectors such as retail technology, healthcare support, industrial facility management, and security surveillance industries. It was founded in 2015 and is based in Tokyo, Japan.","B2B, B2G, SaaS",Internet Software & Services,Monitoring & Security,"Store tech (In-store retail tech), Artificial Intelligence",Loss prevention tech (Consumer & Retail),247,3: Deploying,0.84%,12.45%,Japan,,"Plug and Play Japan, NTT East, Nissho Electronics, Hatsuda Seisakusho",,Corporate Minority - III,2022-11-17,,0%,Alive / Active,2015,,
Hummingbirds AI,hummingbirds.ai,"Hummingbirds AI focuses on bio-inspired vision AI technologies for enhancing security and user experience across various sectors. The company offers GuacamoleID, an AI-powered application that provides continuous facial authentication to automate screen privacy and security without the need for physical interaction. GuacamoleID serves industries such as banking and financial institutions, legal, government, healthcare, and manufacturing by offering touchless access control and identity verification solutions. It was founded in 2020 and is based in Miami Beach, Florida.","B2B, B2G, SaaS",Internet Software & Services,Monitoring & Security,Artificial Intelligence,,237,3: Deploying,0.49%,2.10%,United States,,MassChallenge,,Incubator/Accelerator,2022-07-19,11,-8.333333%,Alive / Active,2020,,
Guangxi Haishi City Operation Management,,"Guangxi Haishi City Operation Management's business scope includes: public utility management services; parking lot services; artificial intelligence industry application system integration services; security system monitoring services, and more.",,Consulting & Outsourcing,Business Process Outsourcing (BPO),,,,,,,China,,,,,,,0%,Alive / Active,2020,,
Nov'in,novin.fr,"Nov'in focuses on innovation in the safety sector, specializing in connected devices and artificial intelligence for personal security. The company offers solutions such as smart bags for athletes and intelligent canes for seniors, as well as protective systems for isolated workers using connected personal protective equipment (PPE) and AI-driven controls. These products are designed to detect abnormal situations and send alerts to ensure the safety of the users. It is based in Saint Etienne, France.","B2B, B2C, Manufacturer",Electrical Products,,,,,,0.60%,2.83%,France,,Le Village by CA,,,,,0%,Alive / Active,,,
Argu AI,,"Argu AI specializes in advanced security and water quality monitoring systems within the technology sector. The company offers a smart algorithm-based system that integrates with existing camera systems to detect and report anomalies in real-time. Argu AI's solutions are primarily utilized by critical infrastructure companies for monitoring security, water quality, and production processes. It was founded in 2024 and is based in Pardes Hanna-Karkur, Israel.","B2B, SaaS","Electronic Test, Measurement & Monitoring",,Artificial Intelligence,,,,,,Israel,,Mekorot,,Seed,2024-08-12,,0%,Alive / Active,2024,,
Avoki,avoki.se,"Avoki specializes in IT solutions across various sectors, including workplace technology, security, cloud services, and artificial intelligence. The company offers a range of services, such as IT infrastructure, cybersecurity, cloud hosting, and AI-driven development to enhance business operations. Avoki primarily caters to businesses seeking advanced IT solutions to improve efficiency, security, and sustainability. It was founded in 1993 and is based in Solna, Sweden.","B2B, Fee-for-service, SaaS",IT Services,IT Solutions & Software Development,,,,,0.73%,27.63%,Sweden,,Nalka Invest,,,,,0%,Alive / Active,1993,,
Opera,opera.com,"Opera specializes in web browsers and internet-related services, offering innovative browsing solutions across various platforms. The company provides web browsers with built-in features such as free VPN, ad blocker, and browser AI, designed to enhance privacy, security, and user experience. Opera's products cater to a broad consumer base, including the gaming community with its dedicated gaming browser. It was founded in 1995 and is based in Oslo, Norway.","Advertising, B2C, Freemium",Internet Software & Services,Browser Software/Plugins,Blockchain,,,,,,Norway,,"IDG Capital, TRK Group",,,,,0%,IPO / Went public,1995,,
Blacksite Solutions,blacksite.solutions,"Blacksite Solutions focuses on data security in the artificial intelligence sector. The company offers network solutions and security services designed to protect digital assets from cyber threats. Its primary market is organizations seeking to safeguard their data in the AI industry. It was founded in 2018 and is based in Santa Cruz, California.","B2B, Fee-for-service",Internet Software & Services,Monitoring & Security,Cybersecurity,,,,0.52%,6.45%,United States,,,,,,,0%,Alive / Active,2018,,
3DEye,3deye.me,"3DEye specializes in cloud-based video surveillance and AI analytics within the security industry. The company offers a comprehensive platform that includes video monitoring, alarm management, AI-driven analytics, and billing services, designed to provide proactive security solutions and streamline operations for its users. 3DEye primarily serves sectors such as systems integrators, IT companies, and telecommunications firms that require scalable video surveillance as a service (VSaaS) solutions. It was founded in 2007 and is based in Toronto, Ontario.","B2B, SaaS, Usage-based",Internet Software & Services,Monitoring & Security,,,508,,0.50%,9.71%,Canada,,,,,,18,38.46154%,Alive / Active,2007,,
Mission Control AI,usemissioncontrol.com,"Mission Control AI specializes in AI trust and safety solutions within the software industry. The company offers a GenOps platform as a SaaS product that provides clarity and security for enterprise AI applications. Mission Control AI primarily serves the enterprise sector, with a focus on enhancing AI reliability and safety. It was founded in 2022 and is based in Los Angeles, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,,2: Validating,0.44%,7.44%,United States,,Stage Venture Partners,,,,8,0%,Alive / Active,2022,,
AppAnzen,appanzen.com,"AppAnzen is a company focused on enhancing application security through an AI-driven approach within the cybersecurity industry. They offer a platform that provides actionable insights and a comprehensive view of application ecosystems, from code to cloud, to help businesses manage security and compliance more effectively. It was founded in 2024 and is based in Sunnyvale, California.","B2B, SaaS, Usage-based",IT Services,Data Storage & Security,Cybersecurity,,,1: Emerging,0.50%,13.31%,United States,,,,,,3,0%,Alive / Active,2024,,
